Seq_id	Size	Description
83	114	contig_78_439_438_0_l=000114
84	38	contig_79_441_440_0_l=000038
85	80009	contig_80_4539_4538_0_l=080009
86	1862	contig_81_4541_4540_0_l=001862
87	132556	contig_82_4543_4542_0_l=132556
88	55	contig_83_451_450_0_l=000055
89	1080	contig_84_4549_4548_0_l=001080
90	9225	contig_85_4553_4552_0_l=009225
91	114	contig_86_459_458_0_l=000114
92	11972	contig_87_4561_4560_0_l=011972
93	33	contig_88_419_418_0_l=000033
94	350	contig_89_4573_4572_0_l=000350
95	26966	contig_90_4517_4516_0_l=026966
96	113	contig_91_481_480_0_l=000113
97	1885	contig_92_4579_4578_0_l=001885
98	453	contig_93_4587_4586_0_l=000453
99	221599	contig_94_4589_4588_0_l=221599
100	258	contig_95_2545_2544_0_l=000258
101	42472	contig_96_4597_4596_0_l=042472
102	27658	contig_97_4603_4602_0_l=027658
103	2215	contig_98_4607_4606_0_l=002215
104	105580	contig_99_4609_4608_0_l=105580
105	155	contig_100_4611_4610_0_l=000155
106	3779	contig_101_4615_4614_0_l=003779
107	55	contig_102_527_526_0_l=000055
108	4623	contig_103_4629_4628_0_l=004623
109	275	contig_104_2583_2582_0_l=000275
110	56887	contig_105_4633_4632_0_l=056887
111	475	contig_106_4527_4526_0_l=000475
112	112	contig_107_541_540_0_l=000112
113	113	contig_108_543_542_0_l=000113
114	86	contig_109_4519_4518_0_l=000086
115	86	contig_110_4519_4518_29_l=000086
116	5	contig_111_551_550_0_l=000005
117	204651	contig_112_4663_4662_0_l=204651
118	58839	contig_113_4667_4666_0_l=058839
119	67330	contig_114_4669_4668_0_l=067330
120	55	contig_115_577_576_0_l=000055
121	113	contig_116_579_578_0_l=000113
122	186978	contig_117_4677_4676_0_l=186978
123	39230	contig_118_4683_4682_0_l=039230
124	149872	contig_119_4685_4684_0_l=149872
125	56	contig_120_591_590_0_l=000056
126	71443	contig_121_4689_4688_0_l=071443
127	133606	contig_122_4691_4690_0_l=133606
128	40490	contig_123_4695_4694_0_l=040490
129	2876	contig_124_4699_4698_0_l=002876
130	25250	contig_125_4705_4704_0_l=025250
131	5	contig_126_443_442_0_l=000005
132	108	contig_127_4709_4708_0_l=000108
133	56	contig_128_445_444_0_l=000056
134	122	contig_129_53879_53878_0_l=000122
135	56	contig_130_447_446_0_l=000056
136	95	contig_131_637_636_0_l=000095
137	164	contig_132_53887_53886_0_l=000164
138	2091	contig_133_4741_4740_0_l=002091
139	119769	contig_134_4747_4746_0_l=119769
140	336	contig_135_653_652_0_l=000336
141	72	contig_136_653_652_43_l=000072
142	54	contig_137_655_654_0_l=000054
143	83785	contig_138_4755_4754_0_l=083785
144	114	contig_139_453_452_0_l=000114
145	127	contig_140_4769_4768_0_l=000127
146	202490	contig_141_4773_4772_0_l=202490
147	35026	contig_142_4775_4774_0_l=035026
148	165340	contig_143_4779_4778_0_l=165340
149	65997	contig_144_4783_4782_0_l=065997
150	3214	contig_145_4785_4784_0_l=003214
151	236111	contig_146_4787_4786_0_l=236111
152	362	contig_147_2741_2740_0_l=000362
153	50	contig_148_699_698_0_l=000050
154	745	contig_149_2751_2750_0_l=000745
155	3	contig_150_719_718_0_l=000003
156	97942	contig_151_4823_4822_0_l=097942
157	111	contig_152_11387_11386_0_l=000111
158	485	contig_153_2829_2828_0_l=000485
159	112	contig_154_789_788_0_l=000112
160	64	contig_155_795_794_0_l=000064
161	129	contig_156_795_794_51_l=000129
162	61	contig_157_805_804_0_l=000061
163	160	contig_158_805_804_54_l=000160
164	385	contig_159_2865_2864_0_l=000385
165	70	contig_160_19593_19592_0_l=000070
166	79	contig_161_2877_2876_0_l=000079
167	151	contig_162_2877_2876_36_l=000151
168	273	contig_163_53393_53392_0_l=000273
169	773	contig_164_2921_2920_0_l=000773
170	61	contig_165_17265_17264_0_l=000061
171	17	contig_166_2957_2956_0_l=000017
172	111	contig_167_3009_3008_0_l=000111
173	2968	contig_168_3009_3008_4_l=002968
174	170	contig_169_13257_13256_0_l=000170
175	130	contig_170_975_974_0_l=000130
176	183	contig_171_975_974_43_l=000183
177	107	contig_172_19425_19424_0_l=000107
178	109	contig_173_1007_1006_0_l=000109
179	464	contig_174_1007_1006_6_l=000464
180	111	contig_175_3081_3080_0_l=000111
181	2020	contig_176_3081_3080_4_l=002020
182	39488	contig_177_3085_3084_0_l=039488
183	653	contig_178_1053_1052_0_l=000653
184	105	contig_179_1053_1052_10_l=000105
185	107	contig_180_1069_1068_0_l=000107
186	65	contig_181_1069_1068_50_l=000065
187	145	contig_182_1079_1078_0_l=000145
188	71	contig_183_1079_1078_44_l=000071
189	113	contig_184_1113_1112_0_l=000113
190	3026	contig_185_1113_1112_2_l=003026
191	305	contig_186_1131_1130_0_l=000305
192	213	contig_187_1131_1130_25_l=000213
193	154	contig_188_1145_1144_0_l=000154
194	86	contig_189_1145_1144_29_l=000086
195	32	contig_190_3195_3194_0_l=000032
196	75	contig_191_23689_23688_0_l=000075
197	156	contig_192_1163_1162_0_l=000156
198	345	contig_193_1163_1162_39_l=000345
199	79	contig_194_1179_1178_0_l=000079
200	122	contig_195_1179_1178_36_l=000122
201	1331	contig_196_3231_3230_0_l=001331
202	28839	contig_197_3235_3234_0_l=028839
203	135	contig_198_1189_1188_0_l=000135
204	83	contig_199_1189_1188_32_l=000083
205	95449	contig_200_4639_4638_0_l=095449
206	188	contig_201_17607_17606_0_l=000188
207	166	contig_202_1231_1230_0_l=000166
208	78	contig_203_1231_1230_37_l=000078
209	111	contig_204_1235_1234_0_l=000111
210	2968	contig_205_1235_1234_4_l=002968
211	59	contig_206_4647_4646_0_l=000059
212	2668	contig_207_3313_3312_0_l=002668
213	21536	contig_208_4313_4312_0_l=021536
214	111	contig_209_54571_54570_0_l=000111
215	77	contig_210_15665_15664_0_l=000077
216	58	contig_211_32063_32062_0_l=000058
217	281	contig_212_3401_3400_0_l=000281
218	350	contig_213_4673_4672_0_l=000350
219	87508	contig_214_4675_4674_0_l=087508
220	718	contig_215_239_238_0_l=000718
221	146	contig_216_1479_1478_0_l=000146
222	144	contig_217_1479_1478_41_l=000144
223	37294	contig_218_4687_4686_0_l=037294
224	1788	contig_219_1503_1502_0_l=001788
225	175	contig_220_54765_54764_0_l=000175
226	110	contig_221_3577_3576_0_l=000110
227	144	contig_222_3577_3576_5_l=000144
228	2259	contig_223_4701_4700_0_l=002259
229	385	contig_224_1627_1626_0_l=000385
230	115	contig_225_16657_16656_0_l=000115
231	293	contig_226_1657_1656_0_l=000293
232	133918	contig_227_3717_3716_0_l=133918
233	240	contig_228_1675_1674_0_l=000240
234	242	contig_229_1685_1684_0_l=000242
235	1733	contig_230_4421_4420_0_l=001733
236	97	contig_231_52977_52976_0_l=000097
237	331	contig_232_3777_3776_0_l=000331
238	15710	contig_233_3783_3782_0_l=015710
239	162	contig_234_3803_3802_0_l=000162
240	85	contig_235_52971_52970_0_l=000085
241	19703	contig_236_3825_3824_0_l=019703
242	654	contig_237_3829_3828_0_l=000654
243	2668	contig_238_3835_3834_0_l=002668
244	352	contig_239_53001_53000_0_l=000352
245	165707	contig_240_3863_3862_0_l=165707
246	10691	contig_241_3879_3878_0_l=010691
247	508	contig_242_4631_4630_0_l=000508
248	3951	contig_243_3917_3916_0_l=003951
249	178	contig_244_1875_1874_0_l=000178
250	111	contig_245_1875_1874_4_l=000111
251	106915	contig_246_4751_4750_0_l=106915
252	43988	contig_247_3939_3938_0_l=043988
253	125	contig_248_53117_53116_0_l=000125
254	144	contig_249_1921_1920_0_l=000144
255	100	contig_250_1921_1920_15_l=000100
256	111	contig_251_1943_1942_0_l=000111
257	324	contig_252_1943_1942_4_l=000324
258	110	contig_253_1951_1950_0_l=000110
259	110	contig_254_1951_1950_5_l=000110
260	31979	contig_255_4003_4002_0_l=031979
261	61	contig_256_18343_18342_0_l=000061
262	2079	contig_257_4011_4010_0_l=002079
263	1002	contig_258_4017_4016_0_l=001002
264	41211	contig_259_4021_4020_0_l=041211
265	1345	contig_260_407_406_0_l=001345
266	63868	contig_261_4051_4050_0_l=063868
267	31582	contig_262_4053_4052_0_l=031582
268	4932	contig_263_4057_4056_0_l=004932
269	162	contig_264_53587_53586_0_l=000162
--------------------------------------------------------------------------------
Block #1
Seq_id	Strand	Start	End	Length
1	-	1157699	1152459	5241
1	+	4567645	4572808	5164
1	+	4473863	4479085	5223
1	+	4342708	4347957	5250
1	+	3642497	3647753	5257
1	+	4301305	4306468	5164
1	-	460102	454856	5247
2	+	3138032	3143289	5258
2	-	231708	226450	5259
2	+	3911086	3916303	5218
2	-	4449749	4444586	5164
2	-	4557756	4552405	5352
2	-	4690264	4685007	5258
2	-	4731733	4726477	5257
3	-	4763515	4758258	5258
3	-	232210	226956	5255
3	-	4667252	4662088	5165
3	+	4085927	4091181	5255
3	+	3373895	3379057	5163
3	-	4948710	4943546	5165
3	-	4907684	4902518	5167
4	+	2896985	2902234	5250
4	+	3636623	3641878	5256
4	-	229352	224097	5256
4	-	4171257	4166094	5164
4	-	4476868	4471706	5163
4	-	4264980	4259725	5256
4	-	4436409	4431161	5249
--------------------------------------------------------------------------------
Block #2
Seq_id	Strand	Start	End	Length
3	+	2111618	2119614	7997
3	+	2824813	2832880	8068
3	+	2600360	2608356	7997
3	+	2162341	2170412	8072
3	-	1802493	1795964	6530
3	-	1210206	1201511	8696
--------------------------------------------------------------------------------
Block #3
Seq_id	Strand	Start	End	Length
3	+	2624527	2630804	6278
3	+	2188643	2194657	6015
3	+	2137680	2143890	6211
3	-	1777932	1771100	6833
3	-	1558119	1552940	5180
3	-	1183056	1175555	7502
--------------------------------------------------------------------------------
Block #4
Seq_id	Strand	Start	End	Length
1	-	3151537	3144963	6575
1	-	264572	258239	6334
2	+	755442	762015	6574
2	+	4109014	4115348	6335
4	+	799345	808193	8849
--------------------------------------------------------------------------------
Block #5
Seq_id	Strand	Start	End	Length
1	-	1763547	1710314	53234
2	+	2465696	2518425	52730
3	+	2719605	2772076	52472
4	+	2252222	2307216	54995
119	+	11646	64849	53204
--------------------------------------------------------------------------------
Block #6
Seq_id	Strand	Start	End	Length
1	-	3295062	3287799	7264
2	+	600762	608025	7264
3	+	658225	665488	7264
4	+	642662	649925	7264
102	-	23295	16032	7264
--------------------------------------------------------------------------------
Block #7
Seq_id	Strand	Start	End	Length
1	+	3073795	3099478	25684
2	-	832942	807415	25528
3	-	892114	866703	25412
4	-	877590	851930	25661
127	+	107923	133606	25684
--------------------------------------------------------------------------------
Block #8
Seq_id	Strand	Start	End	Length
1	-	4338391	4306469	31923
2	+	4694582	4726476	31895
3	+	4911835	4943526	31692
4	+	4440726	4471705	30980
260	+	1	31924	31924
--------------------------------------------------------------------------------
Block #9
Seq_id	Strand	Start	End	Length
2	+	1395252	1401421	6170
2	-	1914188	1907905	6284
3	+	917953	924148	6196
3	+	1645531	1651723	6193
4	-	1762823	1756620	6204
--------------------------------------------------------------------------------
Block #10
Seq_id	Strand	Start	End	Length
1	-	3345225	3306154	39072
2	+	561731	600761	39031
3	+	620681	658224	37544
4	+	603786	642661	38876
264	-	41211	2140	39072
--------------------------------------------------------------------------------
Block #11
Seq_id	Strand	Start	End	Length
1	+	3345226	3478152	132927
2	-	561730	429356	132375
3	-	620490	454353	166138
4	-	603776	469346	134431
232	-	132935	1	132935
--------------------------------------------------------------------------------
Block #12
Seq_id	Strand	Start	End	Length
1	+	589479	696505	107027
2	-	3782936	3673670	109267
3	-	3964043	3859439	104605
4	-	3514292	3400660	113633
251	+	1	106915	106915
--------------------------------------------------------------------------------
Block #13
Seq_id	Strand	Start	End	Length
1	-	3963300	3951567	11734
2	+	5113316	5124979	11664
3	+	5292397	5304060	11664
4	+	4812170	4823903	11734
124	-	108655	96922	11734
--------------------------------------------------------------------------------
Block #14
Seq_id	Strand	Start	End	Length
1	-	2578983	2568578	10406
2	+	1506635	1517040	10406
3	+	1745477	1755883	10407
4	+	1390923	1401328	10406
205	-	95400	84995	10406
--------------------------------------------------------------------------------
Block #15
Seq_id	Strand	Start	End	Length
1	+	4023703	4135601	111899
2	-	5083044	4967850	115195
3	-	5233470	5121239	112232
4	-	4748083	4636807	111277
139	+	8759	119769	111011
--------------------------------------------------------------------------------
Block #16
Seq_id	Strand	Start	End	Length
1	-	3631930	3613471	18460
2	+	273067	290681	17615
3	+	277522	295773	18252
4	+	271255	361018	89764
24	-	19178	719	18460
--------------------------------------------------------------------------------
Block #17
Seq_id	Strand	Start	End	Length
1	+	1574161	1587324	13164
2	-	2655248	2642401	12848
3	-	2964336	2951665	12672
4	-	2470713	2458042	12672
68	-	13164	1	13164
--------------------------------------------------------------------------------
Block #18
Seq_id	Strand	Start	End	Length
1	-	517178	460292	56887
2	+	3854675	3910849	56175
3	+	4030440	4085720	55281
4	+	3583132	3636433	53302
110	+	1	56887	56887
--------------------------------------------------------------------------------
Block #19
Seq_id	Strand	Start	End	Length
1	-	3921418	3871377	50042
2	+	5137541	5186416	48876
3	+	5337751	5386223	48473
4	+	4852347	4900968	48622
124	-	66773	16732	50042
--------------------------------------------------------------------------------
Block #20
Seq_id	Strand	Start	End	Length
1	+	2350078	2404833	54756
2	-	1769011	1714296	54716
3	-	1995547	1940292	55256
4	-	1634743	1579775	54969
118	+	775	55530	54756
--------------------------------------------------------------------------------
Block #21
Seq_id	Strand	Start	End	Length
1	-	392060	300282	91779
2	+	3979098	4073913	94816
3	+	4138870	4227997	89128
4	+	3689567	3784911	95345
63	-	91778	1	91778
--------------------------------------------------------------------------------
Block #22
Seq_id	Strand	Start	End	Length
1	-	66228	1	66228
2	+	4320456	4386684	66229
3	+	4488652	4596976	108325
4	+	4023404	4106059	82656
245	+	41525	107752	66228
--------------------------------------------------------------------------------
Block #23
Seq_id	Strand	Start	End	Length
1	+	216327	230696	14370
2	-	4157550	4143822	13729
3	-	4336830	4313663	23168
4	-	3863215	3849487	13729
64	+	1	14370	14370
--------------------------------------------------------------------------------
Block #24
Seq_id	Strand	Start	End	Length
1	+	2306577	2345806	39230
2	-	1815176	1776124	39053
3	-	2043973	2002737	41237
4	-	1680821	1641940	38882
123	+	1	39230	39230
--------------------------------------------------------------------------------
Block #25
Seq_id	Strand	Start	End	Length
1	-	4408126	4347958	60169
2	+	4624801	4685006	60206
3	+	4833056	4902477	69422
4	+	4364519	4431160	66642
143	-	60224	56	60169
--------------------------------------------------------------------------------
Block #26
Seq_id	Strand	Start	End	Length
1	+	4499164	4567644	68481
2	-	4518283	4449769	68515
3	-	4738367	4667253	71115
4	-	4239838	4171258	68581
13	-	68535	55	68481
--------------------------------------------------------------------------------
Block #27
Seq_id	Strand	Start	End	Length
1	-	3287748	3271768	15981
2	+	618548	634516	15969
3	+	677048	692018	14971
4	+	665248	680224	14977
102	-	15981	1	15981
--------------------------------------------------------------------------------
Block #28
Seq_id	Strand	Start	End	Length
1	+	4408127	4431779	23653
2	-	4624800	4599561	25240
3	-	4833055	4808079	24977
4	-	4331840	4308412	23429
143	+	60225	83785	23561
--------------------------------------------------------------------------------
Block #29
Seq_id	Strand	Start	End	Length
1	+	2683378	2691405	8028
2	-	1418719	1410693	8027
3	-	1620026	1611999	8028
4	-	1304420	1296394	8027
146	+	101940	109967	8028
--------------------------------------------------------------------------------
Block #30
Seq_id	Strand	Start	End	Length
1	-	589478	518043	71436
2	+	3782937	3854207	71271
3	+	3964093	4029509	65417
4	+	3514293	3579883	65591
126	+	8	71443	71436
--------------------------------------------------------------------------------
Block #31
Seq_id	Strand	Start	End	Length
1	+	4431780	4473678	41899
2	-	4599560	4557777	41784
3	-	4808078	4763560	44519
4	-	4308411	4265060	43352
62	+	7	41866	41860
--------------------------------------------------------------------------------
Block #32
Seq_id	Strand	Start	End	Length
1	-	3192237	3151748	40490
2	+	715172	755231	40060
3	+	770143	808809	38667
4	+	758572	799115	40544
128	+	1	40490	40490
--------------------------------------------------------------------------------
Block #33
Seq_id	Strand	Start	End	Length
1	+	2965873	2993155	27283
2	-	977647	949140	28508
3	-	1047250	1014261	32990
4	-	1023192	995933	27260
127	+	1	27283	27283
--------------------------------------------------------------------------------
Block #34
Seq_id	Strand	Start	End	Length
1	+	1661926	1686987	25062
2	-	2568681	2543621	25061
3	-	2824011	2796017	27995
4	-	2384404	2358464	25941
182	+	14427	39488	25062
--------------------------------------------------------------------------------
Block #35
Seq_id	Strand	Start	End	Length
1	-	299733	264573	35161
2	+	4073970	4109013	35044
3	+	4229967	4280834	50868
4	+	3784968	3820538	35571
223	+	1	35161	35161
--------------------------------------------------------------------------------
Block #36
Seq_id	Strand	Start	End	Length
1	+	2432784	2443519	10736
2	-	1694964	1684229	10736
3	-	1934023	1923337	10687
4	-	1560443	1549710	10734
147	-	12936	2201	10736
--------------------------------------------------------------------------------
Block #37
Seq_id	Strand	Start	End	Length
1	-	2226464	2005439	221026
2	+	1949163	2177214	228052
3	+	2205158	2425473	220316
4	+	1797831	2019201	221371
99	+	55	221545	221491
--------------------------------------------------------------------------------
Block #38
Seq_id	Strand	Start	End	Length
1	+	1157700	1355463	197764
2	-	3138031	2901495	236537
3	-	3373894	3177477	196418
4	-	2896984	2704617	192368
117	+	55	204611	204557
--------------------------------------------------------------------------------
Block #39
Seq_id	Strand	Start	End	Length
1	-	2830624	2813454	17171
2	+	1149819	1166912	17094
3	+	1229935	1247059	17125
4	+	1157949	1175015	17067
60	-	43804	26634	17171
--------------------------------------------------------------------------------
Block #40
Seq_id	Strand	Start	End	Length
1	+	887403	996452	109050
2	-	3422903	3313873	109031
3	-	3646455	3535101	111355
4	-	3186430	3040306	146125
151	+	169	109108	108940
--------------------------------------------------------------------------------
Block #41
Seq_id	Strand	Start	End	Length
1	-	3871376	3854646	16731
2	+	1	17286	17286
3	+	1	16493	16493
4	+	1	17216	17216
124	-	16731	1	16731
--------------------------------------------------------------------------------
Block #42
Seq_id	Strand	Start	End	Length
1	-	1798978	1776793	22186
2	+	2433081	2455648	22568
3	+	2680979	2703041	22063
4	+	2217364	2239851	22488
267	+	8539	31044	22506
--------------------------------------------------------------------------------
Block #43
Seq_id	Strand	Start	End	Length
1	+	2849435	2965862	116428
2	-	1131710	977648	154063
3	-	1162196	1047307	114890
4	-	1139870	1023193	116678
44	-	116641	28	116614
--------------------------------------------------------------------------------
Block #44
Seq_id	Strand	Start	End	Length
1	-	3488417	3479193	9225
2	+	419769	428242	8474
3	+	447516	453317	5802
4	+	459850	468133	8284
90	-	9225	1	9225
--------------------------------------------------------------------------------
Block #45
Seq_id	Strand	Start	End	Length
1	-	116412	107745	8668
2	+	4257298	4265965	8668
3	+	4435557	4444088	8532
4	+	3970342	3979008	8667
54	+	1	8668	8668
--------------------------------------------------------------------------------
Block #46
Seq_id	Strand	Start	End	Length
1	-	2005438	1898777	106662
2	+	2177215	2284209	106995
3	+	2425480	2531259	105780
4	+	2019202	2127918	108717
104	+	64	105526	105463
--------------------------------------------------------------------------------
Block #47
Seq_id	Strand	Start	End	Length
1	+	1006065	1096221	90157
2	-	3304323	3214062	90262
3	-	3525546	3437403	88144
4	-	3030375	2933657	96719
151	+	118721	208464	89744
--------------------------------------------------------------------------------
Block #48
Seq_id	Strand	Start	End	Length
1	+	392065	413600	21536
2	-	3979093	3957557	21537
3	-	4138865	4117330	21536
4	-	3689562	3668027	21536
213	-	21536	1	21536
--------------------------------------------------------------------------------
Block #49
Seq_id	Strand	Start	End	Length
1	-	1661925	1647792	14134
2	+	2568682	2582816	14135
3	+	2871891	2886066	14176
4	+	2384421	2398539	14119
182	-	14426	293	14134
--------------------------------------------------------------------------------
Block #50
Seq_id	Strand	Start	End	Length
1	-	1898776	1834527	64250
2	+	2284262	2353080	68819
3	+	2531260	2597777	66518
4	+	2127919	2194939	67021
219	+	178	64427	64250
--------------------------------------------------------------------------------
Block #51
Seq_id	Strand	Start	End	Length
1	-	2565137	2483584	81554
2	+	1532264	1613246	80983
3	+	1817499	1906816	89318
4	+	1404774	1485781	81008
205	-	81554	1	81554
--------------------------------------------------------------------------------
Block #52
Seq_id	Strand	Start	End	Length
1	+	1587774	1647407	59634
2	-	2642197	2583201	58997
3	-	2951461	2886466	64996
4	-	2457826	2398938	58889
18	+	1	59638	59638
--------------------------------------------------------------------------------
Block #53
Seq_id	Strand	Start	End	Length
1	+	231564	258238	26675
2	-	4142881	4115349	27533
3	-	4313617	4287414	26204
4	-	3849025	3823923	25103
95	+	1	26675	26675
--------------------------------------------------------------------------------
Block #54
Seq_id	Strand	Start	End	Length
1	-	2782174	2696097	86078
2	+	1278318	1364415	86098
3	+	1458642	1543424	84783
4	+	1205511	1291602	86092
146	-	200736	114659	86078
--------------------------------------------------------------------------------
Block #55
Seq_id	Strand	Start	End	Length
1	-	1834526	1812150	22377
2	+	2380822	2403541	22720
3	+	2641753	2665091	23339
4	+	2194940	2217321	22382
219	+	64428	86804	22377
--------------------------------------------------------------------------------
Block #56
Seq_id	Strand	Start	End	Length
1	-	1398005	1361355	36651
2	+	2858952	2895603	36652
3	+	3135097	3170370	35274
4	+	2663426	2698701	35276
12	-	36651	1	36651
--------------------------------------------------------------------------------
Block #57
Seq_id	Strand	Start	End	Length
2	+	1920067	1928188	8122
3	+	2125257	2133375	8119
3	-	1639664	1631543	8122
4	+	1768729	1776841	8113
--------------------------------------------------------------------------------
Block #58
Seq_id	Strand	Start	End	Length
1	+	3554472	3573205	18734
2	-	355185	334103	21083
3	-	349972	331479	18494
4	-	386835	365777	21059
130	-	25250	6517	18734
--------------------------------------------------------------------------------
Block #59
Seq_id	Strand	Start	End	Length
1	-	216326	119449	96878
2	+	4157551	4254220	96670
3	+	4336831	4434273	97443
4	+	3863216	3966764	103549
156	+	1233	97942	96710
--------------------------------------------------------------------------------
Block #60
Seq_id	Strand	Start	End	Length
1	-	3554471	3489528	64944
2	+	355304	419295	63992
3	+	359707	439380	79674
4	+	387020	459376	72357
149	+	1256	65997	64742
--------------------------------------------------------------------------------
Block #61
Seq_id	Strand	Start	End	Length
1	-	3271765	3193104	78662
2	+	634517	712830	78314
3	+	692019	769750	77732
4	+	680225	758179	77955
85	-	78664	1	78664
--------------------------------------------------------------------------------
Block #62
Seq_id	Strand	Start	End	Length
1	-	2849434	2830625	18810
2	+	1131750	1149788	18039
3	+	1211847	1229934	18088
4	+	1139871	1157948	18078
44	+	116642	135451	18810
--------------------------------------------------------------------------------
Block #63
Seq_id	Strand	Start	End	Length
1	-	2476892	2466554	10339
2	+	1673338	1684228	10891
3	+	1912416	1923335	10920
4	+	1490125	1500437	10313
70	-	22565	11646	10920
--------------------------------------------------------------------------------
Block #64
Seq_id	Strand	Start	End	Length
1	+	66233	75312	9080
2	-	4303978	4294899	9080
3	-	4488647	4479568	9080
4	-	4023399	4014320	9080
245	-	41520	32442	9079
--------------------------------------------------------------------------------
Block #65
Seq_id	Strand	Start	End	Length
2	-	1276689	1267692	8998
2	-	2432398	2424943	7456
3	-	1456914	1450619	6296
3	-	2680298	2672847	7452
--------------------------------------------------------------------------------
Block #66
Seq_id	Strand	Start	End	Length
1	+	2578984	2654914	75931
2	-	1506634	1430713	75922
3	-	1745476	1666990	78487
4	-	1390922	1316415	74508
146	+	55	74737	74683
--------------------------------------------------------------------------------
Block #67
Seq_id	Strand	Start	End	Length
1	-	107744	86898	20847
2	+	4265966	4285508	19543
3	+	4451218	4470513	19296
4	+	3979009	4004708	25700
245	+	10	20856	20847
--------------------------------------------------------------------------------
Block #68
Seq_id	Strand	Start	End	Length
1	-	1361354	1355867	5488
2	+	2895604	2901091	5488
3	+	3170407	3175736	5330
4	+	2698738	2704213	5476
57	-	5490	1	5490
--------------------------------------------------------------------------------
Block #69
Seq_id	Strand	Start	End	Length
1	+	3100201	3109877	9677
2	-	806768	797114	9655
3	-	866241	856754	9488
4	-	851294	841630	9665
101	-	42461	32783	9679
--------------------------------------------------------------------------------
Block #70
Seq_id	Strand	Start	End	Length
1	+	1127807	1152458	24652
2	-	3167941	3143290	24652
3	-	3403599	3379058	24542
4	-	2926888	2902235	24654
202	+	4132	28784	24653
--------------------------------------------------------------------------------
Block #71
Seq_id	Strand	Start	End	Length
1	+	775387	883546	108160
2	-	3543962	3431137	112826
3	-	3779394	3663399	115996
4	-	3311592	3194696	116897
87	-	112802	53	112750
